x1,x2,y
-0.75,-2.81,-7.6184
2.7,0.82,0.6923
1.39,-1.11,-0.4267
0.59,0.05,-0.5989
-2.06,2.45,5.2147
-2.06,-1.5,0.1241
-2.65,-0.54,-0.6107
2.2,1.53,0.1904
0.61,-1.63,-1.1
1.25,-2.54,-6.5129
-2.88,-1.26,-1.6378
2.82,-2.03,-0.4876
1.99,2.58,5.5929
-1.73,1.85,2.0103
-1.91,0.8,-0.0276
-1.9,2.23,3.843
-1.17,1.82,2.044
0.15,-1.88,-1.5917
-0.41,2.36,4.6083
-1.25,0.24,0.6263
0.67,1.84,0.6649
-2.16,2.38,4.5051
-1.25,-1.09,1.3019
-0.8,-2.34,-3.3689
-0.26,-1.63,-0.2789
1.71,-0.44,-0.3125
-1.8,1.91,2.2075
0.09,2.16,2.789
0.55,-2.96,-10.5239
-2.72,0.06,-1.3646
0.65,-0.5,-0.1576
-1.98,-1.67,-0.2312
-2.61,-2.28,-4.5921
2.69,-0.97,1.7167
2.79,2.66,8.3041
1.85,-1.06,-0.1192
-1.17,0.11,0.7403
-2.41,1.22,-0.7016
1.11,-0.82,-0.2922
-0.36,2.83,8.8533
-2.27,2.77,7.7875
-0.03,-1.49,-0.134
-2.79,-0.02,-1.5335
2.46,-1.19,0.8648
-1.45,-1.29,1.0569
0.98,-2.78,-8.7542
-1.13,0.66,0.3252
0.12,0.02,-0.1397
0.28,-2.69,-7.3182
-1.89,-1.33,0.6934
2.82,2.45,6.5682
1.65,-1.56,-1.0898
2.64,-2.13,-1.6618
2.37,-0.06,0.3523
0.59,2.91,8.8622
2.53,-1.55,0.3969
-2.47,1.03,-1.0275
-1.82,1.57,0.9792
-2.73,-1.57,-1.7042
-1.05,1.37,0.7342
-0.67,-0.79,1.1533
-1.37,0.79,0.3122
1.97,0.8,-0.9849
-0.86,0.21,0.5274
-1.31,-2.46,-4.1231
0.26,2.01,1.7938
-2.15,-1.08,0.6125
1.81,-1.88,-2.0664
-2.55,-2.76,-8.5186
2.92,0.55,1.5926
1.63,1.07,-1.2213
-1.81,-2.9,-8.6704
-2.97,0.07,-2.3394
1.89,-1.64,-1.1052
1.24,0.87,-1.3994
1.37,-1.95,-2.6132
1.63,1.15,-1.1534
-2.56,-0.68,-0.2727
-0.85,2.62,7.0995
-2.3,-2.17,-3.0726
2.18,-0.95,0.4134
0.74,-2.32,-4.5825
-1.01,2.55,6.5446
-2.62,2.26,2.5346
-1.13,-1.45,0.7671
-1.05,0.96,0.3008
1.38,1.9,0.6751
0.83,0.33,-1.0277
2.32,0.18,0.0003
-0.17,-1.55,-0.1429
-2.28,-2.44,-4.9139
1.28,2.38,3.5001
1.56,2.4,3.7113
0.37,0.8,-0.9039
1.63,-0.97,-0.2502
-0.04,-0.9,0.5755
0.14,1.36,-0.2417
-0.43,2.38,4.7747
-2.85,2.32,2.1438
-2.35,1.68,0.4452
