##  x0,x1,y
-0.25,-0.25,0.2394
-0.25,-0.05,0.3091
-0.25,0.15,0.3973
-0.25,0.35,0.5099
-0.25,0.55,0.6548
-0.25,0.75,0.8426
-0.25,0.95,1.0877
-0.25,1.15,1.4095
-0.25,1.35,1.833
-0.25,1.55,2.389
-0.25,1.75,3.1116
-0.25,1.95,4.0295
-0.25,2.15,5.149
-0.25,2.35,6.429
-0.25,2.55,7.7615
-0.25,2.75,8.9862
-0.25,2.95,9.952
-0.25,3.15,10.5892
-0.25,3.35,10.9308
-0.25,3.55,11.0729
-0.25,3.75,11.1195
-0.25,3.95,11.1474
-0.25,4.15,11.1932
-0.25,4.35,11.2508
-0.25,4.55,11.2709
-0.25,4.75,11.1643
-0.25,4.95,10.8217
-0.25,5.15,10.1587
-0.25,5.35,9.1727
-0.25,5.55,7.9633
-0.25,5.75,6.6884
-0.25,5.95,5.4904
-0.25,6.15,4.4528
-0.05,-0.25,0.1649
-0.05,-0.05,0.2194
-0.05,0.15,0.2884
-0.05,0.35,0.3764
-0.05,0.55,0.4898
-0.05,0.75,0.6367
-0.05,0.95,0.8284
-0.05,1.15,1.08
-0.05,1.35,1.411
-0.05,1.55,1.8453
-0.05,1.75,2.4091
-0.05,1.95,3.1246
-0.05,2.15,3.9962
-0.05,2.35,4.9915
-0.05,2.55,6.0258
-0.05,2.75,6.9744
-0.05,2.95,7.7202
-0.05,3.15,8.2104
-0.05,3.35,8.4717
-0.05,3.55,8.5801
-0.05,3.75,8.6175
-0.05,3.95,8.6444
-0.05,4.15,8.6903
-0.05,4.35,8.7516
-0.05,4.55,8.7906
-0.05,4.75,8.7381
-0.05,4.95,8.5072
-0.05,5.15,8.0283
-0.05,5.35,7.2938
-0.05,5.55,6.3764
-0.05,5.75,5.3968
-0.05,5.95,4.467
-0.05,6.15,3.6548
0.15,-0.25,0.1038
0.15,-0.05,0.1457
0.15,0.15,0.1988
0.15,0.35,0.2668
0.15,0.55,0.3542
0.15,0.75,0.4675
0.15,0.95,0.6154
0.15,1.15,0.8094
0.15,1.35,1.0644
0.15,1.55,1.3986
0.15,1.75,1.832
0.15,1.95,2.3812
0.15,2.15,3.0493
0.15,2.35,3.8106
0.15,2.55,4.6
0.15,2.75,5.3217
0.15,2.95,5.8869
0.15,3.15,6.2563
0.15,3.35,6.4516
0.15,3.55,6.5324
0.15,3.75,6.5621
0.15,3.95,6.5882
0.15,4.15,6.6343
0.15,4.35,6.6985
0.15,4.55,6.7531
0.15,4.75,6.745
0.15,4.95,6.6059
0.15,5.15,6.2783
0.15,5.35,5.7503
0.15,5.55,5.0727
0.15,5.75,4.3357
0.15,5.95,3.6264
0.15,6.15,2.9993
0.35,-0.25,0.0542
0.35,-0.05,0.086
0.35,0.15,0.1263
0.35,0.35,0.1779
0.35,0.55,0.2443
0.35,0.75,0.3305
0.35,0.95,0.4428
0.35,1.15,0.5901
0.35,1.35,0.7835
0.35,1.55,1.0366
0.35,1.75,1.3644
0.35,1.95,1.779
0.35,2.15,2.2821
0.35,2.35,2.8538
0.35,2.55,3.4447
0.35,2.75,3.9827
0.35,2.95,4.4015
0.35,3.15,4.673
0.35,3.35,4.8149
0.35,3.55,4.8732
0.35,3.75,4.8968
0.35,3.95,4.9223
0.35,4.15,4.9684
0.35,4.35,5.035
0.35,4.55,5.1022
0.35,4.75,5.1302
0.35,4.95,5.0655
0.35,5.15,4.8603
0.35,5.35,4.4997
0.35,5.55,4.0164
0.35,5.75,3.4761
0.35,5.95,2.9452
0.35,6.15,2.4682
0.55,-0.25,0.0147
0.55,-0.05,0.0384
0.55,0.15,0.0685
0.55,0.35,0.107
0.55,0.55,0.1567
0.55,0.75,0.2212
0.55,0.95,0.3052
0.55,1.15,0.4152
0.55,1.35,0.5595
0.55,1.55,0.748
0.55,1.75,0.9915
0.55,1.95,1.2987
0.55,2.15,1.6702
0.55,2.35,2.0908
0.55,2.55,2.5234
0.55,2.75,2.9148
0.55,2.95,3.217
0.55,3.15,3.4103
0.55,3.35,3.5096
0.55,3.55,3.5501
0.55,3.75,3.5688
0.55,3.95,3.5937
0.55,4.15,3.6399
0.55,4.35,3.7085
0.55,4.55,3.7857
0.55,4.75,3.8424
0.55,4.95,3.837
0.55,5.15,3.7295
0.55,5.35,3.5024
0.55,5.55,3.1741
0.55,5.75,2.7905
0.55,5.95,2.4021
0.55,6.15,2.0447
0.75,-0.25,-0.0162
0.75,-0.05,0.0011
0.75,0.15,0.0232
0.75,0.35,0.0516
0.75,0.55,0.0882
0.75,0.75,0.1356
0.75,0.95,0.1975
0.75,1.15,0.2783
0.75,1.35,0.3842
0.75,1.55,0.5221
0.75,1.75,0.6996
0.75,1.95,0.9226
0.75,2.15,1.1912
0.75,2.35,1.4935
0.75,2.55,1.8021
0.75,2.75,2.0788
0.75,2.95,2.2896
0.75,3.15,2.4218
0.75,3.35,2.4878
0.75,3.55,2.5142
0.75,3.75,2.5291
0.75,3.95,2.5536
0.75,4.15,2.5998
0.75,4.35,2.6699
0.75,4.55,2.7551
0.75,4.75,2.8342
0.75,4.95,2.8752
0.75,5.15,2.8443
0.75,5.35,2.7217
0.75,5.55,2.5146
0.75,5.75,2.2538
0.75,5.95,1.9768
0.75,6.15,1.7131
0.95,-0.25,-0.0399
0.95,-0.05,-0.0275
0.95,0.15,-0.0115
0.95,0.35,0.0091
0.95,0.55,0.0356
0.95,0.75,0.0701
0.95,0.95,0.1149
0.95,1.15,0.1735
0.95,1.35,0.2498
0.95,1.55,0.349
