x1,x2,y
-3.0,-3.0,8.7121
-3.0,-2.9,8.8078
-3.0,-2.8,8.8864
-3.0,-2.7,8.8883
-3.0,-2.6,8.7657
-3.0,-2.5,8.4906
-3.0,-2.4,8.0592
-3.0,-2.3,7.4921
-3.0,-2.2,6.8315
-3.0,-2.1,6.1344
-3.0,-2.0,5.4634
-3.0,-1.9,4.8772
-3.0,-1.8,4.4208
-3.0,-1.7,4.1191
-3.0,-1.6,3.9722
-3.0,-1.5,3.956
-3.0,-1.4,4.0257
-3.0,-1.3,4.1229
-3.0,-1.2,4.1849
-3.0,-1.1,4.1546
-3.0,-1.0,3.9894
-3.0,-0.9,3.6679
-3.0,-0.8,3.1937
-3.0,-0.7,2.5941
-3.0,-0.6,1.9165
-3.0,-0.5,1.2206
-3.0,-0.4,0.5687
-3.0,-0.3,0.0165
-3.0,-0.2,-0.3962
-3.0,-0.1,-0.6516
-3.0,0.0,-0.7568
-3.0,0.1,-0.7425
-3.0,0.2,-0.6584
-3.0,0.3,-0.565
-3.0,0.4,-0.5245
-3.0,0.5,-0.5907
-3.0,0.6,-0.8004
-3.0,0.7,-1.168
-3.0,0.8,-1.6826
-3.0,0.9,-2.3106
-3.0,1.0,-3.0
-3.0,1.1,-3.6894
-3.0,1.2,-4.3174
-3.0,1.3,-4.832
-3.0,1.4,-5.1996
-3.0,1.5,-5.4093
-3.0,1.6,-5.4755
-3.0,1.7,-5.435
-3.0,1.8,-5.3416
-3.0,1.9,-5.2575
-3.0,2.0,-5.2432
-3.0,2.1,-5.3484
-3.0,2.2,-5.6038
-3.0,2.3,-6.0165
-3.0,2.4,-6.5687
-3.0,2.5,-7.2206
-3.0,2.6,-7.9165
-3.0,2.7,-8.5941
-3.0,2.8,-9.1937
-3.0,2.9,-9.6679
-3.0,3.0,-9.9894
-2.9,-3.0,8.8078
-2.9,-2.9,8.8876
-2.9,-2.8,8.8958
-2.9,-2.7,8.7874
-2.9,-2.6,8.5353
-2.9,-2.5,8.1337
-2.9,-2.4,7.5993
-2.9,-2.3,6.969
-2.9,-2.2,6.2937
-2.9,-2.1,5.6314
-2.9,-2.0,5.038
-2.9,-1.9,4.559
-2.9,-1.8,4.2229
-2.9,-1.7,4.0364
-2.9,-1.6,3.9842
-2.9,-1.5,4.0305
-2.9,-1.4,4.1247
-2.9,-1.3,4.2093
-2.9,-1.2,4.2278
-2.9,-1.1,4.1341
-2.9,-1.0,3.8985
-2.9,-0.9,3.513
-2.9,-0.8,2.9919
-2.9,-0.7,2.3699
-2.9,-0.6,1.6968
-2.9,-0.5,1.0302
-2.9,-0.4,0.4267
-2.9,-0.3,-0.0667
-2.9,-0.2,-0.4195
-2.9,-0.1,-0.6221
-2.9,0.0,-0.6878
-2.9,0.1,-0.6501
-2.9,0.2,-0.5584
-2.9,0.3,-0.4699
-2.9,0.4,-0.4415
-2.9,0.5,-0.521
-2.9,0.6,-0.7401
-2.9,0.7,-1.1092
-2.9,0.8,-1.6167
-2.9,0.9,-2.2298
-2.9,1.0,-2.9
-2.9,1.1,-3.5702
-2.9,1.2,-4.1833
-2.9,1.3,-4.6908
-2.9,1.4,-5.0599
-2.9,1.5,-5.279
-2.9,1.6,-5.3585
-2.9,1.7,-5.3301
-2.9,1.8,-5.2416
-2.9,1.9,-5.1499
-2.9,2.0,-5.1122
-2.9,2.1,-5.1779
-2.9,2.2,-5.3805
-2.9,2.3,-5.7333
-2.9,2.4,-6.2267
-2.9,2.5,-6.8302
-2.9,2.6,-7.4968
-2.9,2.7,-8.1699
-2.9,2.8,-8.7919
-2.9,2.9,-9.313
-2.9,3.0,-9.6985
-2.8,-3.0,8.8864
-2.8,-2.9,8.8958
-2.8,-2.8,8.7945
-2.8,-2.7,8.557
-2.8,-2.6,8.1773
